Year,Month,Day,Weekday,Week
2000,January,2,Sunday,2
2000,January,8,Saturday,2
2000,January,23,Sunday,5
2000,February,8,Tuesday,7
2000,March,3,Friday,10
2000,March,13,Monday,12
2000,March,15,Wednesday,12
2000,March,20,Monday,13
2000,April,5,Wednesday,15
2000,April,6,Thursday,15
2000,April,7,Friday,15
2000,April,30,Sunday,19
2000,May,31,Wednesday,23
2000,June,1,Thursday,23
2000,June,4,Sunday,24
2000,June,24,Saturday,26
2000,June,24,Saturday,26
2000,June,28,Wednesday,27
2000,July,2,Sunday,28
2000,July,10,Monday,29
2000,July,30,Sunday,32
2000,August,7,Monday,33
2000,August,7,Monday,33
2000,August,10,Thursday,33
2000,August,12,Saturday,33
2000,August,20,Sunday,35
2000,September,4,Monday,37
2000,September,4,Monday,37
2000,September,27,Wednesday,40
2000,October,2,Monday,41
2000,October,3,Tuesday,41
2000,October,10,Tuesday,42
2000,October,24,Tuesday,44
2000,November,9,Thursday,46
2000,November,25,Saturday,48
2000,November,27,Monday,49
2000,December,31,Sunday,54
2001,January,1,Monday,1
2001,January,1,Monday,1
2001,January,11,Thursday,2
2001,February,1,Thursday,5
2001,March,1,Thursday,9
2001,March,12,Monday,11
2001,March,16,Friday,11
2001,April,16,Monday,16
2001,April,17,Tuesday,16
2001,April,25,Wednesday,17
2001,May,15,Tuesday,20
2001,May,17,Thursday,20
2001,June,6,Wednesday,23
2001,June,11,Monday,24
2001,June,21,Thursday,25
2001,July,3,Tuesday,27
2001,July,4,Wednesday,27
2001,July,6,Friday,27
2001,July,13,Friday,28
2001,July,21,Saturday,29
2001,August,7,Tuesday,32
2001,August,13,Monday,33
2001,August,20,Monday,34
2001,August,30,Thursday,35
2001,September,5,Wednesday,36
2001,September,30,Sunday,40
2001,October,11,Thursday,41
2001,October,27,Saturday,43
2001,November,8,Thursday,45
2001,November,17,Saturday,46
2001,November,19,Monday,47
2001,December,1,Saturday,48
2001,December,8,Saturday,49
2001,December,18,Tuesday,51
2002,January,4,Friday,1
2002,February,17,Sunday,8
2002,February,22,Friday,8
2002,March,4,Monday,10
2002,March,12,Tuesday,11
2002,March,16,Saturday,11
2002,March,16,Saturday,11
2002,March,21,Thursday,12
2002,March,27,Wednesday,13
2002,April,3,Wednesday,14
2002,April,29,Monday,18
2002,May,26,Sunday,22
2002,May,29,Wednesday,22
2002,July,5,Friday,27
2002,July,8,Monday,28
2002,July,18,Thursday,29
2002,July,26,Friday,30
2002,July,30,Tuesday,31
2002,August,11,Sunday,33
2002,August,13,Tuesday,33
2002,September,3,Tuesday,36
2002,September,11,Wednesday,37
2002,September,13,Friday,37
2002,September,14,Saturday,37
2002,September,25,Wednesday,39
2002,October,4,Friday,40
2002,October,8,Tuesday,41
2002,November,22,Friday,47
2002,November,25,Monday,48
2002,December,9,Monday,50
2002,December,19,Thursday,51
2002,December,30,Monday,53
2003,January,7,Tuesday,2
2003,January,26,Sunday,5
2003,February,27,Thursday,9
